Warning,Part,IBIS File,IBIS Component,Timing File,Timing Model,Pin Number,Pin Name,Model Name,Model Type,Additional Data
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,CLK, CLK,3_3V_I,Input,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,CLKP, CLKP,3_3V_I,Input,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,CLKN, CLKN,3_3V_I,Input,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,1p, 3_3V_Ip,3_3V_I,Input,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,1n, 3_3V_In,3_3V_I,Input,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,2, 3_3V_IO_fast_10ohm,3_3V_IO_fast_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,2p, 3_3V_IO_fast_10ohmp,3_3V_IO_fast_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,2n, 3_3V_IO_fast_10ohmn,3_3V_IO_fast_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,3, 3_3V_IO_fast_20ohm,3_3V_IO_fast_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,3p, 3_3V_IO_fast_20ohmp,3_3V_IO_fast_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,3n, 3_3V_IO_fast_20ohmn,3_3V_IO_fast_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,4, 3_3V_IO_fast_30ohm,3_3V_IO_fast_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,4p, 3_3V_IO_fast_30ohmp,3_3V_IO_fast_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,4n, 3_3V_IO_fast_30ohmn,3_3V_IO_fast_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,5, 3_3V_IO_fast_40ohm,3_3V_IO_fast_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,5p, 3_3V_IO_fast_40ohmp,3_3V_IO_fast_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,5n, 3_3V_IO_fast_40ohmn,3_3V_IO_fast_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,6, 3_3V_IO_fast_50ohm,3_3V_IO_fast_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,6p, 3_3V_IO_fast_50ohmp,3_3V_IO_fast_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,6n, 3_3V_IO_fast_50ohmn,3_3V_IO_fast_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,7, 3_3V_IO_slow_10ohm,3_3V_IO_slow_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,7p, 3_3V_IO_slow_10ohmp,3_3V_IO_slow_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,7n, 3_3V_IO_slow_10ohmn,3_3V_IO_slow_10ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,8, 3_3V_IO_slow_20ohm,3_3V_IO_slow_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,8p, 3_3V_IO_slow_20ohmp,3_3V_IO_slow_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,8n, 3_3V_IO_slow_20ohmn,3_3V_IO_slow_20ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,9, 3_3V_IO_slow_30ohm,3_3V_IO_slow_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,9p, 3_3V_IO_slow_30ohmp,3_3V_IO_slow_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,9n, 3_3V_IO_slow_30ohmn,3_3V_IO_slow_30ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,10, 3_3V_IO_slow_40ohm,3_3V_IO_slow_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,10p, 3_3V_IO_slow_40ohmp,3_3V_IO_slow_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,10n, 3_3V_IO_slow_40ohmn,3_3V_IO_slow_40ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,11, 3_3V_IO_slow_50ohm,3_3V_IO_slow_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,11p, 3_3V_IO_slow_50ohmp,3_3V_IO_slow_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,11n, 3_3V_IO_slow_50ohmn,3_3V_IO_slow_50ohm,I/O,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,12, 3_3V_O_fast_10ohm,3_3V_O_fast_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,12p, 3_3V_O_fast_10ohmp,3_3V_O_fast_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,12n, 3_3V_O_fast_10ohmn,3_3V_O_fast_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,13, 3_3V_O_fast_20ohm,3_3V_O_fast_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,13p, 3_3V_O_fast_20ohmp,3_3V_O_fast_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,13n, 3_3V_O_fast_20ohmn,3_3V_O_fast_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,14, 3_3V_O_fast_30ohm,3_3V_O_fast_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,14p, 3_3V_O_fast_30ohmp,3_3V_O_fast_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,14n, 3_3V_O_fast_30ohmn,3_3V_O_fast_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,15, 3_3V_O_fast_40ohm,3_3V_O_fast_40ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,15n, 3_3V_O_fast_40ohmn,3_3V_O_fast_40ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,16, 3_3V_O_fast_50ohm,3_3V_O_fast_50ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,16p, 3_3V_O_fast_50ohmp,3_3V_O_fast_50ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,16n, 3_3V_O_fast_50ohmn,3_3V_O_fast_50ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,17, 3_3V_O_slow_10ohm,3_3V_O_slow_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,17p, 3_3V_O_slow_10ohmp,3_3V_O_slow_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,17n, 3_3V_O_slow_10ohmn,3_3V_O_slow_10ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,18, 3_3V_O_slow_20ohm,3_3V_O_slow_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,18p, 3_3V_O_slow_20ohmp,3_3V_O_slow_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,18n, 3_3V_O_slow_20ohmn,3_3V_O_slow_20ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,19, 3_3V_O_slow_30ohm,3_3V_O_slow_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,19p, 3_3V_O_slow_30ohmp,3_3V_O_slow_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,19n, 3_3V_O_slow_30ohmn,3_3V_O_slow_30ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,20, 3_3V_O_slow_40ohm,3_3V_O_slow_40ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,20p, 3_3V_O_slow_40ohmp,3_3V_O_slow_40ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,20n, 3_3V_O_slow_40ohmn,3_3V_O_slow_40ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,21, 3_3V_O_slow_50ohm,3_3V_O_slow_50ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,21p, 3_3V_O_slow_50ohmp,3_3V_O_slow_50ohm,Output,
Part pin not referenced in Transfer Net List,generic_3_3v,generic_3_3v.ibs,generic_3_3v,generic_3_3v.tmg,generic_3_3v,21n, 3_3V_O_slow_50ohmn,3_3V_O_slow_50ohm,Output,
