Transfer Net,Driver,Receiver,Simulation,Node,Setup Margin (ns),Hold Margin (ns),Rmin Etch Delay (ns),Rmax Etch Delay (ns),Fmin Etch Delay (ns),Fmax Etch Delay (ns),Min Slew Time (ns),Max Slew Time (ns),Min Voltage (V),Max Voltage (V),UI (ns),VinMeas(H/L) Width (ns),Virtual Eye Width (ns),VinMeas Width (ns),VinMeas Jitter (ns),Inner Height (V),Outer Height (V),Inner Eye Min (V),Inner Eye Max (V),Outer Eye Min (V),Outer Eye Max (V),Rising Jitter (ns),Falling Jitter (ns),Ringback Margin (V),Ringback_High Margin (V),Ringback_Low Margin (V),Corner,Ac Noise,Ac Noise Source,$T1:DELAY,$T2:DELAY,$T4:DELAY,PATTERN
sheet1,IO1,Controller,io1_ssse_6_1o5_1o5\io1_ssse_6_1o5_1o5.csd,Controller_pad,7.208,4.475,1.675,1.764,1.716,1.792,0.070,0.086,-0.706,3.828,15.000,14.767,14.883,14.844,0.156,2.203,4.509,0.411,2.614,-0.706,3.804,0.005,0.006,0.556,0.795,0.556,SSSE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_3_0o75_0o75\controller_fffe_3_0o75_0o75.csd,IO0_pad,11.470,0.237,0.537,0.601,0.568,0.630,0.058,0.063,-0.801,4.248,15.000,14.903,14.907,14.963,0.038,3.545,5.045,-0.052,3.493,-0.800,4.246,0.002,0.003,0.375,1.240,0.375,FFFE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_3_0o75_0o75\controller_fffe_3_0o75_0o75.csd,IO1_pad,11.296,0.407,0.707,0.775,0.729,0.804,0.065,0.072,-0.842,4.331,15.000,14.894,14.903,14.956,0.044,3.565,5.160,-0.188,3.377,-0.842,4.318,0.002,0.003,0.535,1.430,0.535,FFFE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_3_0o75_0o75\io0_fffe_3_0o75_0o75.csd,Controller_pad,11.446,0.264,0.564,0.641,0.579,0.654,0.069,0.076,-0.851,4.340,15.000,14.874,14.910,14.945,0.055,2.846,5.176,0.328,3.174,-0.851,4.326,0.004,0.003,0.609,1.321,0.609,FFFE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_3_0o75_0o75\io1_fffe_3_0o75_0o75.csd,Controller_pad,11.259,0.419,0.719,0.786,0.743,0.841,0.062,0.096,-0.850,4.374,15.000,14.893,14.878,14.963,0.037,3.324,5.208,0.043,3.367,-0.849,4.359,0.004,0.003,0.435,1.390,0.435,FFFE,0.00V,tnet,3in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_3_0o75_1o5\controller_fffe_3_0o75_1o5.csd,IO0_pad,11.467,0.248,0.548,0.612,0.571,0.633,0.058,0.062,-0.831,4.264,15.000,14.899,14.915,14.955,0.045,3.059,5.093,0.312,3.371,-0.831,4.262,0.002,0.004,0.220,0.945,0.220,FFFE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_3_0o75_1o5\controller_fffe_3_0o75_1o5.csd,IO1_pad,11.181,0.524,0.824,0.890,0.849,0.919,0.062,0.066,-0.849,4.375,15.000,14.899,14.905,14.956,0.045,3.422,5.215,0.057,3.479,-0.848,4.367,0.003,0.006,0.520,1.451,0.520,FFFE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_3_0o75_1o5\io0_fffe_3_0o75_1o5.csd,Controller_pad,11.425,0.280,0.580,0.649,0.589,0.675,0.062,0.073,-0.847,4.316,15.000,14.888,14.905,14.954,0.046,2.834,5.163,0.399,3.233,-0.847,4.316,0.006,0.002,0.092,1.116,0.092,FFFE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_3_0o75_1o5\io1_fffe_3_0o75_1o5.csd,Controller_pad,11.171,0.527,0.827,0.892,0.850,0.929,0.061,0.076,-0.856,4.391,15.000,14.897,14.898,14.958,0.042,3.107,5.246,0.262,3.369,-0.856,4.391,0.003,0.004,0.414,1.415,0.414,FFFE,0.00V,tnet,3in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_3_1o5_0o75\controller_fffe_3_1o5_0o75.csd,IO0_pad,11.352,0.362,0.662,0.726,0.685,0.748,0.058,0.062,-0.836,4.295,15.000,14.899,14.914,14.955,0.046,3.365,5.122,0.108,3.472,-0.835,4.287,0.002,0.004,0.401,1.476,0.401,FFFE,0.00V,tnet,3in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_3_1o5_0o75\controller_fffe_3_1o5_0o75.csd,IO1_pad,11.303,0.401,0.701,0.770,0.730,0.797,0.061,0.067,-0.830,4.293,15.000,14.899,14.904,14.958,0.042,3.400,5.121,0.124,3.524,-0.829,4.292,0.003,0.005,0.459,1.477,0.459,FFFE,0.00V,tnet,3in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_3_1o5_0o75\io0_fffe_3_1o5_0o75.csd,Controller_pad,11.350,0.362,0.662,0.724,0.681,0.750,0.060,0.068,-0.853,4.376,15.000,14.895,14.912,14.955,0.045,2.913,5.227,0.158,3.071,-0.853,4.375,0.003,0.002,0.534,1.320,0.534,FFFE,0.00V,tnet,3in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_3_1o5_0o75\io1_fffe_3_1o5_0o75.csd,Controller_pad,11.277,0.405,0.705,0.774,0.747,0.823,0.067,0.074,-0.855,4.368,15.000,14.910,14.882,14.977,0.023,3.234,5.212,0.057,3.291,-0.854,4.358,0.002,0.003,0.401,1.338,0.401,FFFE,0.00V,tnet,3in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_3_1o5_1o5\controller_fffe_3_1o5_1o5.csd,IO0_pad,11.348,0.368,0.668,0.734,0.689,0.752,0.058,0.063,-0.828,4.273,15.000,14.891,14.916,14.952,0.048,3.146,5.101,0.232,3.378,-0.828,4.272,0.003,0.003,0.452,1.487,0.452,FFFE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_3_1o5_1o5\controller_fffe_3_1o5_1o5.csd,IO1_pad,11.172,0.535,0.835,0.900,0.859,0.928,0.060,0.066,-0.835,4.321,15.000,14.895,14.907,14.955,0.045,3.183,5.156,0.258,3.442,-0.835,4.320,0.005,0.004,0.530,1.489,0.530,FFFE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_3_1o5_1o5\io0_fffe_3_1o5_1o5.csd,Controller_pad,11.333,0.359,0.659,0.723,0.696,0.767,0.059,0.069,-0.843,4.320,15.000,14.909,14.892,14.970,0.030,3.047,5.163,0.236,3.283,-0.842,4.320,0.005,0.004,0.402,1.387,0.402,FFFE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_3_1o5_1o5\io1_fffe_3_1o5_1o5.csd,Controller_pad,11.169,0.532,0.832,0.903,0.857,0.931,0.066,0.071,-0.849,4.358,15.000,14.893,14.901,14.959,0.041,2.723,5.206,0.455,3.178,-0.849,4.357,0.003,0.003,0.467,1.434,0.467,FFFE,0.00V,tnet,3in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_4_0o75_0o75\controller_fffe_4_0o75_0o75.csd,IO0_pad,11.310,0.408,0.708,0.772,0.728,0.790,0.056,0.064,-0.822,4.270,15.000,14.895,14.918,14.953,0.047,2.786,5.088,0.453,3.239,-0.822,4.267,0.001,0.004,0.529,1.328,0.529,FFFE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_4_0o75_0o75\controller_fffe_4_0o75_0o75.csd,IO1_pad,11.127,0.582,0.882,0.948,0.898,0.973,0.062,0.071,-0.845,4.337,15.000,14.890,14.909,14.949,0.051,3.155,5.178,0.271,3.426,-0.842,4.336,0.003,0.004,0.482,1.393,0.482,FFFE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_4_0o75_0o75\io0_fffe_4_0o75_0o75.csd,Controller_pad,11.288,0.406,0.706,0.766,0.740,0.812,0.057,0.070,-0.842,4.341,15.000,14.910,14.894,14.972,0.028,2.638,5.181,0.518,3.155,-0.842,4.339,0.003,0.005,0.230,1.261,0.230,FFFE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_4_0o75_0o75\io1_fffe_4_0o75_0o75.csd,Controller_pad,11.143,0.567,0.867,0.935,0.889,0.957,0.061,0.065,-0.850,4.376,15.000,14.890,14.910,14.953,0.047,3.078,5.225,0.226,3.305,-0.849,4.375,0.003,0.005,0.484,1.382,0.484,FFFE,0.00V,tnet,4in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_4_0o75_1o5\controller_fffe_4_0o75_1o5.csd,IO0_pad,11.313,0.408,0.708,0.773,0.725,0.787,0.057,0.064,-0.811,4.256,15.000,14.888,14.921,14.947,0.053,2.750,5.066,0.467,3.216,-0.810,4.256,0.003,0.003,0.186,0.731,0.186,FFFE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_4_0o75_1o5\controller_fffe_4_0o75_1o5.csd,IO1_pad,10.995,0.702,1.002,1.074,1.025,1.105,0.067,0.078,-0.850,4.372,15.000,14.888,14.897,14.956,0.045,2.771,5.207,0.510,3.280,-0.849,4.357,0.004,0.004,0.477,1.431,0.477,FFFE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_4_0o75_1o5\io0_fffe_4_0o75_1o5.csd,Controller_pad,11.309,0.399,0.699,0.767,0.721,0.791,0.062,0.067,-0.852,4.358,15.000,14.890,14.908,14.954,0.046,3.072,5.189,0.165,3.237,-0.851,4.338,0.003,0.004,0.160,1.212,0.160,FFFE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_4_0o75_1o5\io1_fffe_4_0o75_1o5.csd,Controller_pad,11.001,0.702,1.002,1.077,1.018,1.099,0.071,0.074,-0.847,4.365,15.000,14.878,14.903,14.946,0.054,2.689,5.208,0.436,3.124,-0.847,4.361,0.003,0.007,0.550,1.371,0.550,FFFE,0.00V,tnet,4in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_4_1o5_0o75\controller_fffe_4_1o5_0o75.csd,IO0_pad,11.184,0.536,0.836,0.902,0.851,0.916,0.061,0.064,-0.833,4.294,15.000,14.888,14.920,14.948,0.052,2.791,5.127,0.434,3.225,-0.833,4.294,0.002,0.002,0.506,1.413,0.506,FFFE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_4_1o5_0o75\controller_fffe_4_1o5_0o75.csd,IO1_pad,11.140,0.564,0.864,0.932,0.894,0.960,0.062,0.065,-0.834,4.293,15.000,14.900,14.904,14.963,0.038,2.994,5.127,0.257,3.251,-0.834,4.293,0.002,0.002,0.474,1.415,0.474,FFFE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_4_1o5_0o75\io0_fffe_4_1o5_0o75.csd,Controller_pad,11.183,0.519,0.819,0.884,0.851,0.917,0.058,0.064,-0.853,4.386,15.000,14.905,14.902,14.964,0.036,3.047,5.238,0.312,3.359,-0.852,4.386,0.002,0.005,0.427,1.274,0.427,FFFE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_4_1o5_0o75\io1_fffe_4_1o5_0o75.csd,Controller_pad,11.128,0.574,0.874,0.955,0.897,0.972,0.071,0.077,-0.857,4.400,15.000,14.878,14.902,14.950,0.050,3.056,5.257,0.298,3.353,-0.857,4.400,0.005,0.003,0.264,1.314,0.264,FFFE,0.00V,tnet,4in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_4_1o5_1o5\controller_fffe_4_1o5_1o5.csd,IO0_pad,11.181,0.532,0.832,0.903,0.850,0.919,0.065,0.067,-0.820,4.260,15.000,14.885,14.913,14.949,0.051,2.572,5.077,0.628,3.201,-0.819,4.258,0.004,0.002,0.361,1.385,0.361,FFFE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_4_1o5_1o5\controller_fffe_4_1o5_1o5.csd,IO1_pad,11.012,0.689,0.989,1.053,1.019,1.088,0.060,0.066,-0.833,4.304,15.000,14.907,14.901,14.964,0.036,2.704,5.131,0.468,3.172,-0.833,4.299,0.002,0.004,0.520,1.502,0.520,FFFE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_4_1o5_1o5\io0_fffe_4_1o5_1o5.csd,Controller_pad,11.202,0.505,0.805,0.875,0.835,0.898,0.055,0.066,-0.859,4.373,15.000,14.900,14.907,14.956,0.044,2.932,5.224,0.276,3.208,-0.858,4.365,0.005,0.006,0.315,1.312,0.315,FFFE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_4_1o5_1o5\io1_fffe_4_1o5_1o5.csd,Controller_pad,11.018,0.698,0.998,1.067,1.008,1.082,0.063,0.069,-0.862,4.417,15.000,14.879,14.916,14.941,0.059,2.643,5.278,0.476,3.120,-0.861,4.416,0.005,0.007,0.334,1.276,0.334,FFFE,0.00V,tnet,4in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_5_0o75_0o75\controller_fffe_5_0o75_0o75.csd,IO0_pad,11.144,0.564,0.864,0.931,0.892,0.956,0.061,0.067,-0.821,4.283,15.000,14.897,14.908,14.960,0.040,2.567,5.102,0.601,3.167,-0.820,4.283,0.001,0.002,0.389,1.150,0.389,FFFE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_5_0o75_0o75\controller_fffe_5_0o75_0o75.csd,IO1_pad,10.964,0.741,1.041,1.104,1.061,1.136,0.060,0.071,-0.842,4.331,15.000,14.895,14.905,14.956,0.044,2.369,5.159,0.660,3.030,-0.840,4.319,0.002,0.003,0.326,1.351,0.326,FFFE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_5_0o75_0o75\io0_fffe_5_0o75_0o75.csd,Controller_pad,11.149,0.560,0.860,0.930,0.887,0.951,0.056,0.066,-0.849,4.360,15.000,14.895,14.909,14.954,0.046,2.367,5.209,0.610,2.977,-0.849,4.360,0.004,0.005,0.369,1.119,0.369,FFFE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_5_0o75_0o75\io1_fffe_5_0o75_0o75.csd,Controller_pad,10.972,0.730,1.030,1.101,1.051,1.128,0.064,0.071,-0.848,4.369,15.000,14.887,14.902,14.953,0.047,2.561,5.206,0.533,3.094,-0.848,4.358,0.003,0.006,0.456,1.408,0.456,FFFE,0.00V,tnet,5in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_5_0o75_1o5\controller_fffe_5_0o75_1o5.csd,IO0_pad,11.150,0.555,0.855,0.919,0.887,0.950,0.057,0.063,-0.808,4.240,15.000,14.905,14.905,14.963,0.037,2.557,5.046,0.553,3.110,-0.808,4.238,0.002,0.005,0.103,0.836,0.103,FFFE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_5_0o75_1o5\controller_fffe_5_0o75_1o5.csd,IO1_pad,10.853,0.841,1.141,1.208,1.173,1.247,0.062,0.069,-0.847,4.381,15.000,14.901,14.894,14.965,0.035,2.507,5.227,0.499,3.007,-0.847,4.380,0.004,0.007,0.491,1.356,0.491,FFFE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_5_0o75_1o5\io0_fffe_5_0o75_1o5.csd,Controller_pad,11.121,0.586,0.886,0.956,0.909,0.979,0.063,0.069,-0.840,4.347,15.000,14.892,14.907,14.955,0.045,2.466,5.185,0.560,3.026,-0.839,4.346,0.002,0.004,0.430,1.059,0.430,FFFE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_5_0o75_1o5\io1_fffe_5_0o75_1o5.csd,Controller_pad,10.843,0.854,1.154,1.216,1.177,1.257,0.058,0.077,-0.844,4.365,15.000,14.897,14.897,14.958,0.042,2.308,5.192,0.699,3.007,-0.844,4.348,0.004,0.007,0.291,1.355,0.291,FFFE,0.00V,tnet,5in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_5_1o5_0o75\controller_fffe_5_1o5_0o75.csd,IO0_pad,11.024,0.677,0.977,1.041,1.012,1.076,0.059,0.062,-0.834,4.289,15.000,14.906,14.901,14.964,0.036,2.613,5.116,0.434,3.047,-0.833,4.282,0.005,0.004,0.553,1.379,0.553,FFFE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_5_1o5_0o75\controller_fffe_5_1o5_0o75.csd,IO1_pad,10.970,0.739,1.039,1.106,1.060,1.130,0.062,0.068,-0.834,4.304,15.000,14.891,14.909,14.952,0.048,2.580,5.136,0.477,3.057,-0.834,4.303,0.005,0.003,0.512,1.405,0.512,FFFE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_5_1o5_0o75\io0_fffe_5_1o5_0o75.csd,Controller_pad,10.983,0.703,1.003,1.079,1.030,1.117,0.071,0.083,-0.849,4.371,15.000,14.888,14.886,14.961,0.039,2.487,5.220,0.506,2.994,-0.849,4.371,0.003,0.006,0.482,1.343,0.482,FFFE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_5_1o5_0o75\io1_fffe_5_1o5_0o75.csd,Controller_pad,10.961,0.745,1.045,1.106,1.066,1.139,0.058,0.069,-0.851,4.388,15.000,14.900,14.906,14.962,0.038,2.436,5.238,0.524,2.960,-0.851,4.387,0.002,0.001,0.466,1.310,0.466,FFFE,0.00V,tnet,5in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_5_1o5_1o5\controller_fffe_5_1o5_1o5.csd,IO0_pad,11.028,0.684,0.984,1.047,1.009,1.072,0.056,0.063,-0.816,4.255,15.000,14.897,14.912,14.956,0.044,2.441,5.067,0.624,3.065,-0.816,4.251,0.001,0.005,0.365,1.407,0.365,FFFE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_5_1o5_1o5\controller_fffe_5_1o5_1o5.csd,IO1_pad,10.852,0.852,1.152,1.219,1.178,1.248,0.061,0.067,-0.835,4.327,15.000,14.896,14.904,14.957,0.043,2.624,5.160,0.477,3.101,-0.834,4.326,0.003,0.004,0.512,1.451,0.512,FFFE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_5_1o5_1o5\io0_fffe_5_1o5_1o5.csd,Controller_pad,11.009,0.687,0.987,1.051,1.027,1.091,0.057,0.062,-0.850,4.382,15.000,14.914,14.896,14.971,0.029,2.436,5.232,0.572,3.008,-0.850,4.382,0.004,0.004,0.412,1.357,0.412,FFFE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_5_1o5_1o5\io1_fffe_5_1o5_1o5.csd,Controller_pad,10.828,0.857,1.157,1.218,1.193,1.272,0.058,0.076,-0.854,4.384,15.000,14.913,14.885,14.975,0.025,2.364,5.216,0.647,3.010,-0.854,4.363,0.002,0.005,0.342,1.358,0.342,FFFE,0.00V,tnet,5in,1.5in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_6_0o75_0o75\controller_fffe_6_0o75_0o75.csd,IO0_pad,10.984,0.727,1.027,1.092,1.054,1.116,0.058,0.063,-0.823,4.277,15.000,14.898,14.911,14.958,0.042,2.757,5.098,0.360,3.117,-0.822,4.276,0.002,0.002,0.567,1.395,0.567,FFFE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_6_0o75_0o75\controller_fffe_6_0o75_0o75.csd,IO1_pad,10.824,0.882,1.182,1.247,1.207,1.276,0.062,0.066,-0.842,4.336,15.000,14.900,14.906,14.958,0.042,2.367,5.175,0.653,3.020,-0.840,4.335,0.002,0.004,0.337,1.369,0.337,FFFE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_6_0o75_0o75\io0_fffe_6_0o75_0o75.csd,Controller_pad,10.951,0.761,1.061,1.133,1.074,1.149,0.068,0.073,-0.845,4.334,15.000,14.877,14.912,14.946,0.054,2.457,5.173,0.569,3.025,-0.845,4.328,0.002,0.005,0.419,1.317,0.419,FFFE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_6_0o75_0o75\io1_fffe_6_0o75_0o75.csd,Controller_pad,10.757,0.892,1.192,1.265,1.228,1.343,0.067,0.105,-0.858,4.370,15.000,14.895,14.849,14.983,0.018,2.351,5.227,0.661,3.012,-0.858,4.370,0.006,0.003,0.326,1.361,0.326,FFFE,0.00V,tnet,6in,0.75in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_6_0o75_1o5\controller_fffe_6_0o75_1o5.csd,IO0_pad,10.992,0.727,1.027,1.092,1.047,1.108,0.055,0.063,-0.831,4.297,15.000,14.895,14.919,14.950,0.050,2.821,5.124,0.281,3.102,-0.831,4.293,0.002,0.004,0.304,0.971,0.304,FFFE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_6_0o75_1o5\controller_fffe_6_0o75_1o5.csd,IO1_pad,10.685,1.019,1.319,1.384,1.338,1.415,0.060,0.072,-0.848,4.383,15.000,14.891,14.904,14.953,0.047,2.573,5.230,0.513,3.086,-0.848,4.383,0.003,0.005,0.476,1.435,0.476,FFFE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_6_0o75_1o5\io0_fffe_6_0o75_1o5.csd,Controller_pad,10.976,0.744,1.044,1.113,1.052,1.124,0.064,0.069,-0.849,4.358,15.000,14.877,14.920,14.939,0.061,2.317,5.206,0.696,3.014,-0.849,4.357,0.004,0.005,0.293,1.022,0.293,FFFE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_6_0o75_1o5\io1_fffe_6_0o75_1o5.csd,Controller_pad,10.675,1.002,1.302,1.366,1.343,1.425,0.060,0.081,-0.855,4.386,15.000,14.912,14.877,14.977,0.023,2.631,5.239,0.479,3.109,-0.854,4.385,0.002,0.002,0.318,1.325,0.318,FFFE,0.00V,tnet,6in,0.75in,1.5in,default_clock
sheet1,Controller,IO0,controller_fffe_6_1o5_0o75\controller_fffe_6_1o5_0o75.csd,IO0_pad,10.867,0.844,1.144,1.210,1.171,1.233,0.059,0.065,-0.834,4.299,15.000,14.898,14.911,14.956,0.044,2.680,5.130,0.386,3.066,-0.833,4.296,0.003,0.002,0.486,1.415,0.486,FFFE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,Controller,IO1,controller_fffe_6_1o5_0o75\controller_fffe_6_1o5_0o75.csd,IO1_pad,10.823,0.892,1.192,1.259,1.215,1.277,0.058,0.066,-0.832,4.282,15.000,14.894,14.915,14.953,0.047,2.535,5.110,0.479,3.014,-0.831,4.279,0.001,0.002,0.511,1.364,0.511,FFFE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,IO0,Controller,io0_fffe_6_1o5_0o75\io0_fffe_6_1o5_0o75.csd,Controller_pad,10.827,0.863,1.163,1.242,1.185,1.273,0.074,0.085,-0.853,4.359,15.000,14.883,14.890,14.956,0.044,2.731,5.212,0.458,3.189,-0.853,4.359,0.004,0.003,0.353,1.363,0.353,FFFE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,IO1,Controller,io1_fffe_6_1o5_0o75\io1_fffe_6_1o5_0o75.csd,Controller_pad,10.779,0.908,1.208,1.279,1.241,1.321,0.067,0.076,-0.855,4.385,15.000,14.903,14.887,14.971,0.029,2.593,5.235,0.506,3.100,-0.855,4.379,0.003,0.003,0.431,1.348,0.431,FFFE,0.00V,tnet,6in,1.5in,0.75in,default_clock
sheet1,Controller,IO0,controller_fffe_6_1o5_1o5\controller_fffe_6_1o5_1o5.csd,IO0_pad,10.854,0.864,1.164,1.225,1.180,1.246,0.059,0.062,-0.822,4.282,15.000,14.892,14.918,14.950,0.050,2.624,5.099,0.453,3.077,-0.822,4.277,0.002,0.004,0.514,1.427,0.514,FFFE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,Controller,IO1,controller_fffe_6_1o5_1o5\controller_fffe_6_1o5_1o5.csd,IO1_pad,10.693,1.022,1.322,1.392,1.339,1.407,0.060,0.067,-0.834,4.318,15.000,14.885,14.915,14.947,0.054,2.774,5.151,0.325,3.100,-0.834,4.317,0.004,0.006,0.527,1.447,0.527,FFFE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,IO0,Controller,io0_fffe_6_1o5_1o5\io0_fffe_6_1o5_1o5.csd,Controller_pad,10.878,0.830,1.130,1.197,1.158,1.222,0.057,0.066,-0.853,4.360,15.000,14.897,14.908,14.957,0.043,2.635,5.213,0.468,3.103,-0.853,4.360,0.002,0.006,0.350,1.338,0.350,FFFE,0.00V,tnet,6in,1.5in,1.5in,default_clock
sheet1,IO1,Controller,io1_fffe_6_1o5_1o5\io1_fffe_6_1o5_1o5.csd,Controller_pad,10.671,1.029,1.329,1.395,1.349,1.429,0.062,0.080,-0.856,4.384,15.000,14.890,14.900,14.957,0.043,2.393,5.238,0.616,3.009,-0.856,4.382,0.003,0.005,0.372,1.359,0.372,FFFE,0.00V,tnet,6in,1.5in,1.5in,default_clock
